vertical,area,initiative,service,date,proyected_spend,max_spend,min_spend
Retail,Platform,Pocket Growth,Kubernetes (GKE),01/01/2025,1989.52,2201.8,1582.26
Retail,Promotion,Ad Targeting,AWS Redshift,01/01/2025,1601.65,1771.78,1337.9
Fintech,Lending,Logistics Optimization,AWS S3,01/01/2025,291.24,322.26,237.76
Fintech,Deposits,Search Relevance,Kubernetes (GKE),01/01/2025,1501.95,1623.29,1128.32
Fintech,Deposits,Logistics Optimization,GCP Cloud Storage,01/01/2025,1871.27,2045.41,1587.54
Fintech,Pocket,Fraud Shield,GCP BigQuery,02/01/2025,2289.9,2491.21,1842.79
Retail,Delivery,Checkout Revamp,AWS Redshift,02/01/2025,1504.45,1671.64,1152.01
Fintech,Pocket,Fraud Shield,GCP Cloud Run,02/01/2025,885.78,987.14,724.22
Retail,Advertisement,Lending Scoring,GCP BigQuery,02/01/2025,632.48,689.32,507.26
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,02/01/2025,951.5,1053.04,715.71
Retail,Services,Fraud Shield,AWS S3,03/01/2025,435.79,472.91,349.73
Retail,Advertisement,Shipping Automation,GCP BigQuery,03/01/2025,1851.23,2019.7,1549.31
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,03/01/2025,1929.1,2094.13,1629.76
Fintech,Transfers,Search Relevance,GCP Cloud Run,03/01/2025,774.16,844.87,584.85
Fintech,Deposits,Logistics Optimization,Databricks,03/01/2025,199.17,220.48,164.0
Fintech,Lending,Shipping Automation,AWS S3,04/01/2025,1169.06,1305.16,934.78
Retail,Advertisement,Seller Onboarding 2.0,Databricks,04/01/2025,964.84,1049.84,811.36
Fintech,Bank account,Pocket Growth,GCP Cloud Run,04/01/2025,1162.44,1280.64,938.83
Retail,Advertisement,Shipping Automation,AWS EC2,04/01/2025,357.81,396.48,270.86
Retail,Delivery,Pocket Growth,AWS Redshift,05/01/2025,216.93,242.56,173.5
Retail,Services,Lending Scoring,AWS S3,05/01/2025,449.26,496.17,338.24
Fintech,Pocket,Fraud Shield,Azure Data Lake,05/01/2025,238.82,260.37,196.82
Fintech,Lending,Shipping Automation,AWS Redshift,05/01/2025,1553.85,1717.03,1242.37
Fintech,Lending,Pocket Growth,AWS S3,05/01/2025,1590.13,1737.73,1214.94
Retail,Delivery,Seller Onboarding 2.0,AWS EC2,05/01/2025,146.38,163.8,117.86
Retail,Delivery,Checkout Revamp,Kubernetes (GKE),05/01/2025,1264.61,1385.99,1039.57
Retail,Platform,Pocket Growth,Kubernetes (GKE),06/01/2025,2144.07,2374.38,1639.04
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,06/01/2025,1902.04,2055.97,1542.57
Retail,Services,Lending Scoring,GCP Cloud Storage,06/01/2025,1340.89,1469.62,1068.59
Fintech,Deposits,Fraud Shield,Databricks,06/01/2025,646.12,720.42,486.11
Retail,Platform,Pocket Growth,AWS S3,07/01/2025,1533.65,1693.78,1275.01
Fintech,Bank account,Lending Scoring,AWS EC2,07/01/2025,972.51,1067.58,797.32
Retail,Services,Ad Targeting,GCP Cloud Storage,07/01/2025,1452.89,1623.52,1230.45
Retail,Delivery,CrossBorder Expansion,AWS EC2,07/01/2025,2648.26,2950.59,2147.25
Fintech,Transfers,Search Relevance,GCP Cloud Run,08/01/2025,862.01,942.08,715.45
Retail,Delivery,Search Relevance,AWS EC2,08/01/2025,489.46,539.27,382.75
Retail,Platform,Fraud Shield,Kubernetes (GKE),08/01/2025,2932.72,3224.79,2439.63
Retail,Promotion,Shipping Automation,AWS Redshift,08/01/2025,1477.42,1632.98,1156.11
Fintech,Transfers,Search Relevance,GCP BigQuery,08/01/2025,717.37,784.35,590.86
Fintech,Pocket,Lending Scoring,GCP Cloud Run,08/01/2025,355.58,387.5,289.61
Fintech,Bank account,Pocket Growth,AWS EC2,08/01/2025,2250.51,2512.71,1834.42
Retail,Promotion,CrossBorder Expansion,AWS Redshift,09/01/2025,1767.73,1974.48,1375.87
Fintech,Pocket,Lending Scoring,Azure Data Lake,09/01/2025,1663.57,1852.77,1336.43
Fintech,Bank account,Lending Scoring,GCP Cloud Storage,09/01/2025,717.81,803.33,584.21
Retail,Delivery,Checkout Revamp,AWS Redshift,09/01/2025,2128.5,2362.21,1627.75
Fintech,Transfers,Search Relevance,GCP BigQuery,10/01/2025,599.16,665.42,475.02
Retail,Delivery,CrossBorder Expansion,Kubernetes (GKE),10/01/2025,210.99,234.3,174.83
Retail,Services,Seller Onboarding 2.0,GCP Cloud Storage,10/01/2025,475.82,523.03,361.62
Fintech,Lending,Logistics Optimization,AWS S3,10/01/2025,440.72,484.02,359.51
Fintech,Lending,Shipping Automation,AWS S3,11/01/2025,1310.35,1427.77,1108.69
Fintech,Transfers,Fraud Shield,AWS Redshift,11/01/2025,2156.65,2384.81,1726.48
Retail,Platform,Fraud Shield,AWS Lambda,11/01/2025,199.18,217.42,166.83
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,11/01/2025,719.57,784.56,594.48
Retail,Advertisement,Lending Scoring,Databricks,11/01/2025,1718.54,1896.3,1332.36
Fintech,Lending,CrossBorder Expansion,Databricks,12/01/2025,863.91,947.19,723.03
Fintech,Deposits,Fraud Shield,GCP Cloud Storage,12/01/2025,1979.46,2155.15,1522.81
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,12/01/2025,119.39,132.84,90.29
Retail,Delivery,Fraud Shield,Kubernetes (GKE),12/01/2025,1498.78,1670.28,1183.06
Retail,Promotion,Lending Scoring,GCP Cloud Storage,13/01/2025,1549.45,1683.8,1206.97
Fintech,Transfers,Fraud Shield,GCP BigQuery,13/01/2025,1462.42,1579.85,1138.7
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,13/01/2025,2419.39,2645.47,1816.28
Retail,Promotion,Lending Scoring,AWS S3,13/01/2025,744.11,827.38,607.08
Fintech,Pocket,Ad Targeting,GCP BigQuery,13/01/2025,1821.35,2028.19,1518.48
Retail,Platform,Search Relevance,AWS S3,13/01/2025,1032.52,1120.84,824.04
Retail,Services,Seller Onboarding 2.0,AWS Lambda,14/01/2025,569.89,633.14,454.02
Retail,Promotion,Search Relevance,GCP Cloud Storage,14/01/2025,1356.83,1471.66,1129.17
Fintech,Pocket,Ad Targeting,AWS Lambda,14/01/2025,92.91,101.8,73.28
Fintech,Deposits,Checkout Revamp,AWS EC2,14/01/2025,698.68,782.49,592.89
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,14/01/2025,826.75,899.26,626.04
Fintech,Pocket,Lending Scoring,AWS S3,14/01/2025,682.25,741.03,561.86
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,15/01/2025,779.58,855.13,659.56
Retail,Delivery,Pocket Growth,Kubernetes (GKE),15/01/2025,1505.13,1662.85,1263.07
Fintech,Lending,Pocket Growth,Databricks,15/01/2025,1180.15,1318.6,974.77
Retail,Platform,Search Relevance,AWS S3,15/01/2025,1254.65,1404.24,1032.08
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,15/01/2025,452.38,489.83,383.04
Retail,Services,Ad Targeting,GCP Cloud Storage,15/01/2025,1539.77,1671.45,1265.79
Fintech,Deposits,Pocket Growth,Databricks,16/01/2025,1336.07,1485.21,1109.88
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,16/01/2025,276.24,301.33,224.34
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Run,16/01/2025,202.32,225.66,164.18
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,16/01/2025,2359.63,2611.02,1925.69
Fintech,Lending,CrossBorder Expansion,AWS Lambda,17/01/2025,2426.66,2631.65,1983.09
Retail,Delivery,Seller Onboarding 2.0,AWS EC2,17/01/2025,110.4,122.91,92.85
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,17/01/2025,429.59,466.99,364.07
Retail,Advertisement,Seller Onboarding 2.0,GCP BigQuery,17/01/2025,585.9,642.7,486.17
Fintech,Bank account,Shipping Automation,AWS EC2,17/01/2025,359.38,396.07,278.28
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,17/01/2025,2102.8,2313.15,1579.03
Retail,Platform,Fraud Shield,AWS S3,18/01/2025,443.72,491.4,335.96
Retail,Promotion,Shipping Automation,AWS Redshift,18/01/2025,1090.7,1206.44,872.1
Fintech,Lending,Logistics Optimization,AWS S3,18/01/2025,466.5,522.34,371.72
Retail,Services,Lending Scoring,GCP BigQuery,18/01/2025,739.12,827.8,605.0
